CA230334_a,CA230334_b,CA230335_a,CA230335_b,CA230337_a,CA230337_b,CA230347_a,CA230347_b,CA230348_a,CA230348_b,CA230354_a,CA230354_b,CA230361_a,CA230361_b,CA230365_a,CA230365_b,CA230366_a,CA230366_b,CA230375_a,CA230375_b,CA230377_a,CA230377_b,CA230378_a,CA230378_b,CA230381_a,CA230381_b,CA230386_a,CA230386_b,CA230387_a,CA230387_b,CA230401_a,CA230401_b,CA230404_a,CA230404_b,CA230411_a,CA230411_b,CA230416_a,CA230416_b,CA230417_a,CA230417_b,CA230422_a,CA230422_b,CA230423_a,CA230423_b,CA230424_a,CA230424_b,CA230428_a,CA230428_b,CA230429_a,CA230429_b,CA230430_a,CA230430_b,CA230715_a,CA230715_b,CA230717_a,CA230717_b,CA230718_a,CA230718_b,CA230724_a,CA230724_b
Capulí,Capulí,Tuza,Tuza,Piartal - 2,Piartal - 2,Piartal - 2,Piartal - 2,Capulí,Capulí,Tuza,Tuza,Piartal - 1,Piartal - 1,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Tuza,Tuza,Piartal - 2,Piartal - 2,Tuza,Tuza,Piartal - 1,Piartal - 1,Piartal - 1,Piartal - 1,Piartal - 1,Piartal - 1,Piartal - 1,Piartal - 1,Piartal - 1,Piartal - 1,Tuza,Tuza,Tuza,Tuza,Tuza - Red slip,Tuza - Red slip,Tuza,Tuza,Piartal - 1,Piartal - 1,Tuza,Tuza,Tuza,Tuza
7.09438,10.3219,6.55509,5.71607,4.9476,6.8885,5.0308,7.1367,8.03615,6.98096,6.86795,6.71479,6.96793,7.47347,7.19966,7.31409,6.72015,7.00111,6.88479,6.89196,7.74921,8.56751,5.46416,9.26402,6.07745,8.31154,7.83985,8.16953,7.44073,8.7452,6.03448,5.19692,6.3706,6.45565,5.19185,5.6216,4.77351,6.37518,6.54203,5.61482,6.46658,6.22212,4.99433,6.00891,6.02077,5.09948,5.48909,5.91123,7.28978,5.04218,4.57937,7.32814,6.20716,6.37778,5.96774,5.8078,6.17506,6.09275,5.28964,6.5442
7.01037,10.23734,6.72608,5.80003,5.0404,6.8884,4.9506,7.0526,8.12025,6.89685,6.78417,6.79871,6.88375,7.55539,7.19635,7.31407,6.6442,7.1698,6.88309,6.89193,7.74193,8.56668,5.54861,9.34796,6.07865,8.21143,7.83996,8.16656,7.35644,8.8286,6.03485,5.11304,6.45596,6.45632,5.27621,5.70549,4.85798,6.37516,6.62172,5.5297,6.55119,6.13807,5.07817,6.00857,6.01746,5.09997,5.48987,5.82604,7.20543,5.04199,4.74589,7.3284,6.12154,6.46047,5.88371,5.63828,6.09243,6.00863,5.37369,6.54585
7.01028,10.32189,6.6431,5.7999,5.1198,6.8881,4.9508,7.1362,8.20399,6.89657,6.87136,6.71481,6.96827,7.55331,7.19549,7.2294,6.65044,7.08544,6.88109,6.80765,7.73791,8.64938,5.54722,9.2613,6.17924,8.31067,7.76184,8.16638,7.35607,8.74465,5.95083,5.1962,6.54123,6.45656,5.27786,5.70536,4.85969,6.37523,6.53339,5.44471,6.55345,6.05378,4.99481,5.92385,5.93352,5.10028,5.40769,5.91029,7.20439,5.12591,4.66263,7.32838,6.20432,6.46089,5.9678,5.80508,6.09452,6.09219,5.37341,6.5458
7.0098,10.23731,6.72753,5.79944,5.0404,6.9726,5.0347,7.2198,8.2039,6.89586,6.78972,6.71428,6.96779,7.46731,7.19668,7.22881,6.65234,7.08541,7.04851,6.89451,7.82,8.64872,5.6298,9.25651,6.08183,8.40889,7.85138,8.16778,7.43972,8.82933,6.03439,5.11235,6.45792,6.37274,5.19511,5.62099,4.86075,6.37531,6.61514,5.61086,6.55493,6.05366,4.99448,6.00654,5.93257,5.18423,5.49264,5.91053,7.28739,5.04183,4.66263,7.41166,6.12052,6.378,5.88353,5.72021,6.09697,6.00917,5.37268,6.54706
7.17851,10.32149,6.64356,5.71497,5.0359,6.9719,5.036,7.2192,8.20434,6.81189,6.87382,6.71287,6.96766,7.46547,7.19786,7.22848,6.73657,7.08543,6.96585,6.89563,7.81716,8.6497,5.62763,9.25299,6.08412,8.20808,7.84953,8.17046,7.52303,8.74511,6.03422,5.19643,6.4579,6.45574,5.27952,5.7038,4.86096,6.37525,6.53175,5.52597,6.63921,6.13806,5.07751,6.0065,5.84771,5.10058,5.49279,5.912,7.37053,5.0418,4.66263,7.32835,6.20459,6.3781,5.96544,5.80401,6.18111,6.0086,5.37166,6.631
7.01058,10.31897,6.64513,5.79862,5.0403,6.8886,5.1211,7.1342,8.20531,6.98063,6.87691,6.71227,7.0518,7.46367,7.20257,7.22832,6.73655,7.16978,6.96736,6.81173,7.8938,8.65294,5.70849,9.25156,6.18361,8.30817,7.93139,8.08778,7.60663,8.74478,6.11773,5.11284,6.45776,6.45386,5.36363,5.61875,4.77707,6.3758,6.61964,5.61097,6.55509,6.13784,5.07737,6.00658,5.93099,5.10054,5.40837,5.91348,7.20212,5.04179,4.66271,7.41163,6.20478,6.54391,5.96329,5.71976,6.09673,6.17482,5.37052,6.54536
7.09477,10.31754,6.73049,5.79814,4.9563,6.9722,5.1214,7.1344,8.28903,6.89694,6.96389,6.71181,6.96756,7.46258,7.21079,7.22821,6.65233,7.08541,7.05165,6.89635,7.8909,8.57392,5.62048,9.25232,6.2836,8.20822,8.01487,8.08743,7.5231,8.74455,6.03441,5.19687,6.4578,6.45291,5.27997,5.78553,4.77761,6.37699,6.624,5.52846,6.55508,6.0526,5.07696,6.00663,5.93098,5.10024,5.578,5.91363,7.28695,5.04172,4.6639,7.32834,6.20452,6.37459,5.96272,5.71967,6.09574,6.00774,5.45319,6.54424
7.17936,10.3191,6.64678,5.88256,5.0398,6.9716,5.2051,7.2196,8.20801,6.89726,6.8821,6.7106,6.96722,7.5462,7.29405,7.22817,6.65343,7.08544,7.05057,6.89631,7.89185,8.5739,5.70282,9.25274,6.28615,8.30832,8.01507,8.08707,7.60681,8.66036,6.20245,5.19706,6.45788,6.45207,5.36316,5.70059,4.86311,6.29362,6.62575,5.61198,6.63904,6.05097,5.07588,5.92324,5.8475,5.01622,5.57856,5.91338,7.20717,5.12546,4.66566,7.41161,6.20362,6.45793,6.04687,5.71937,6.17865,6.00771,5.53639,6.54404
7.17835,10.2365,6.73102,5.79841,4.9565,6.8886,5.2886,7.2189,8.20952,6.89749,6.88134,6.79336,6.96712,7.54621,7.29282,7.31222,6.73887,7.08544,7.132,6.81207,7.893,8.65778,5.70286,9.33615,6.48583,8.2077,8.01501,8.0869,7.60683,8.74438,6.03448,5.19691,6.54169,6.45035,5.2785,5.61573,4.78043,6.3776,6.62641,5.61235,6.555,6.04984,5.07566,6.00667,5.93102,5.09952,5.49303,5.82924,7.29705,5.04158,4.66633,7.32835,6.11994,6.37435,5.96306,5.80318,6.09435,6.00771,5.45309,6.54395
7.17625,10.32168,6.64692,5.96618,5.0358,6.9717,5.2041,7.1342,8.29415,6.89582,6.87852,6.70923,7.05119,7.46241,7.29498,7.22814,6.7385,7.08541,7.13045,6.81248,7.89367,8.65732,5.7029,9.25163,6.48388,8.30517,8.02,8.0868,7.69039,8.74426,6.11848,5.19727,6.54174,6.44892,5.36213,5.69894,4.78033,6.29366,6.62666,5.52906,6.55499,6.13466,5.07767,5.92326,5.84794,5.09908,5.49356,5.91387,7.30357,5.12602,4.66653,7.32832,6.2041,6.37648,5.96318,5.63352,6.17698,6.0077,5.45317,6.45867
