"red_count","black_count","white_count","proportion_red_to_red_black","file_name","percent_complete","ID"
101,92318,800745,0.00109284887306723,"CA230335_10_infill.tiff",0.998907151126933,"CA230335_10"
38,92532,799335,0.000410500162039538,"CA230335_11_infill.tiff",0.99958949983796,"CA230335_11"
43,92680,797928,0.000463746858923892,"CA230335_12_infill.tiff",0.999536253141076,"CA230335_12"
46,92689,796650,0.00049603709494797,"CA230335_13_infill.tiff",0.999503962905052,"CA230335_13"
54,92730,805063,0.000581996896016555,"CA230335_7_infill.tiff",0.999418003103983,"CA230335_7"
109,92555,805356,0.00117629284295951,"CA230335_8_infill.tiff",0.99882370715704,"CA230335_8"
118,92364,802486,0.0012759239635821,"CA230335_9_infill.tiff",0.998724076036418,"CA230335_9"
994,280559,2410623,0.00353041878438518,"CA230337_1_infill.jpg",0.996469581215615,"CA230337_1"
551,283536,2334912,0.00193954668816243,"CA230337_10_infill.jpg",0.998060453311838,"CA230337_10"
740,280643,2334373,0.00262986747600246,"CA230337_11_infill.jpg",0.997370132523998,"CA230337_11"
397,278205,2323714,0.001424971823605,"CA230337_12_infill.jpg",0.998575028176395,"CA230337_12"
665,277226,2317688,0.00239302460317175,"CA230337_13_infill.jpg",0.997606975396828,"CA230337_13"
763,277890,2319201,0.00273817256587943,"CA230337_14_infill.jpg",0.997261827434121,"CA230337_14"
661,285176,2298471,0.0023125067783387,"CA230337_15_infill.jpg",0.997687493221661,"CA230337_15"
519,288333,2305621,0.00179676789497736,"CA230337_16_infill.jpg",0.998203232105023,"CA230337_16"
806,287944,2320550,0.00279134199134199,"CA230337_17_infill.jpg",0.997208658008658,"CA230337_17"
1559,287245,2328310,0.00539812467971358,"CA230337_18_infill.jpg",0.994601875320286,"CA230337_18"
635,288015,2344613,0.0021998960679023,"CA230337_19_infill.jpg",0.997800103932098,"CA230337_19"
1229,285775,2363501,0.004282170283341,"CA230337_20_infill.jpg",0.995717829716659,"CA230337_20"
865,284048,2367750,0.00303601450267275,"CA230337_21_infill.jpg",0.996963985497327,"CA230337_21"
1113,282187,2381950,0.0039286974938228,"CA230337_22_infill.jpg",0.996071302506177,"CA230337_22"
1858,279582,2392707,0.0066017623649801,"CA230337_23_infill.jpg",0.99339823763502,"CA230337_23"
1607,277382,2398406,0.00576008373089978,"CA230337_24_infill.jpg",0.9942399162691,"CA230337_24"
1356,273611,2402143,0.00493150087101361,"CA230337_25_infill.jpg",0.995068499128986,"CA230337_25"
1476,271342,2402858,0.00541020020673123,"CA230337_26_infill.jpg",0.994589799793269,"CA230337_26"
827,269293,2408968,0.00306160225085147,"CA230337_27_infill.jpg",0.996938397749148,"CA230337_27"
857,267398,2409799,0.0031947214404205,"CA230337_28_infill.jpg",0.996805278559579,"CA230337_28"
442,268775,2407792,0.00164179825196774,"CA230337_29_infill.jpg",0.998358201748032,"CA230337_29"
770,287865,2313809,0.00266772913887782,"CA230337_3_infill.jpg",0.997332270861122,"CA230337_3"
723,272280,2412094,0.00264832254590609,"CA230337_30_infill.jpg",0.997351677454094,"CA230337_30"
775,274909,2416295,0.00281118962290158,"CA230337_31_infill.jpg",0.997188810377098,"CA230337_31"
874,274150,2416979,0.00317790447379138,"CA230337_32_infill.jpg",0.996822095526209,"CA230337_32"
95,281704,2417481,0.000337119720084173,"CA230337_34_infill.jpg",0.999662880279916,"CA230337_34"
865,282812,2428611,0.00304924262453424,"CA230337_35_infill.jpg",0.996950757375466,"CA230337_35"
1126,282862,2367784,0.00396495626575771,"CA230337_36_infill.jpg",0.996035043734242,"CA230337_36"
667,280655,2403838,0.00237094859271582,"CA230337_4_infill.jpg",0.997629051407284,"CA230337_4"
100,280488,2383443,0.000356394428842288,"CA230337_6_infill.jpg",0.999643605571158,"CA230337_6"
201,281110,2368866,0.000714511697018602,"CA230337_7_infill.jpg",0.999285488302981,"CA230337_7"
390,283170,2340720,0.00137537029200169,"CA230337_9_infill.jpg",0.998624629707998,"CA230337_9"
20,53278,412721,0.000375248602198957,"CA230354_7_infill.tiff",0.999624751397801,"CA230354_7"
27,53251,413246,0.000506775779871617,"CA230354_8_infill.tiff",0.999493224220128,"CA230354_8"
11,53465,413138,0.000205699753160296,"CA230354_9_infill.tiff",0.99979430024684,"CA230354_9"
156,48383,300631,0.0032139104637508,"CA230365_13_infill.jpg",0.996786089536249,"CA230365_13"
57,48420,299059,0.00117581533510737,"CA230365_18_infill.jpg",0.998824184664893,"CA230365_18"
97,48614,298114,0.00199133665907085,"CA230365_19_infill.jpg",0.998008663340929,"CA230365_19"
124,48757,296634,0.0025367729792762,"CA230365_20_infill.jpg",0.997463227020724,"CA230365_20"
81,49030,295072,0.00164932499847285,"CA230365_21_infill.jpg",0.998350675001527,"CA230365_21"
68,50395,297608,0.00134752194677288,"CA230365_25_infill.jpg",0.998652478053227,"CA230365_25"
332,50460,306519,0.00653646243502914,"CA230365_26_infill.jpg",0.993463537564971,"CA230365_26"
513,50325,309162,0.010090876903104,"CA230365_27_infill.jpg",0.989909123096896,"CA230365_27"
537,50257,317208,0.0105721148167106,"CA230365_28_infill.jpg",0.989427885183289,"CA230365_28"
416,50375,309465,0.00819042743793192,"CA230365_29_infill.jpg",0.991809572562068,"CA230365_29"
210,49911,301129,0.00418986053749925,"CA230365_3_infill.jpg",0.995810139462501,"CA230365_3"
272,50764,305387,0.00532957128301591,"CA230365_30_infill.jpg",0.994670428716984,"CA230365_30"
64,49940,301871,0.00127989760819134,"CA230365_4_infill.jpg",0.998720102391809,"CA230365_4"
18,49944,302526,0.000360273808094152,"CA230365_5_infill.jpg",0.999639726191906,"CA230365_5"
3,49549,276388,6.05424604455925e-05,"CA230366_17_infill.jpg",0.999939457539554,"CA230366_17"
900,49002,276423,0.0180353492845978,"CA230366_18_infill.jpg",0.981964650715402,"CA230366_18"
1009,49225,278398,0.0200859975315523,"CA230366_19_infill.jpg",0.979914002468448,"CA230366_19"
1131,49335,279609,0.0224111282843895,"CA230366_20_infill.jpg",0.97758887171561,"CA230366_20"
853,49903,280515,0.0168058948695721,"CA230366_21_infill.jpg",0.983194105130428,"CA230366_21"
16,51451,283197,0.000310878815551713,"CA230366_22_infill.jpg",0.999689121184448,"CA230366_22"
25,59252,224572,0.00042174873897127,"CA230375_1_infill.tiff",0.999578251261029,"CA230375_1"
62,59342,225522,0.00104370076089152,"CA230375_2_infill.tiff",0.998956299239108,"CA230375_2"
143,59026,232872,0.00241680609778769,"CA230375_22_infill.tiff",0.997583193902212,"CA230375_22"
30,59015,231949,0.000508087052248285,"CA230375_23_infill.tiff",0.999491912947752,"CA230375_23"
22,58981,230903,0.00037286239682728,"CA230375_24_infill.tiff",0.999627137603173,"CA230375_24"
30,58853,230392,0.000509484910755226,"CA230375_25_infill.tiff",0.999490515089245,"CA230375_25"
39,58653,228858,0.000664485790226947,"CA230375_27_infill.tiff",0.999335514209773,"CA230375_27"
19,59435,225475,0.0003195747973223,"CA230375_3_infill.tiff",0.999680425202678,"CA230375_3"
75,59369,224404,0.00126169167619945,"CA230375_34_infill.tiff",0.998738308323801,"CA230375_34"
52,89969,571566,0.000577642994412415,"CA230377_10_infill.jpg",0.999422357005588,"CA230377_10"
34,90072,570524,0.000377333362928107,"CA230377_2_infill.jpg",0.999622666637072,"CA230377_2"
138,89839,559722,0.0015337252853507,"CA230377_22_infill.jpg",0.998466274714649,"CA230377_22"
19,89840,568184,0.000211442370825404,"CA230377_35_infill.jpg",0.999788557629175,"CA230377_35"
265,89339,572660,0.00295745725637248,"CA230377_4_infill.jpg",0.997042542743627,"CA230377_4"
421,88613,572507,0.00472853067367522,"CA230377_5_infill.jpg",0.995271469326325,"CA230377_5"
156,88642,572386,0.00175679632424154,"CA230377_6_infill.jpg",0.998243203675758,"CA230377_6"
80,88789,572619,0.00090020142006774,"CA230377_7_infill.jpg",0.999099798579932,"CA230377_7"
22,89161,572294,0.000246683785026294,"CA230377_8_infill.jpg",0.999753316214974,"CA230377_8"
0,44044,270761,0,"CA230378_15_infill.jpg",1,"CA230378_15"
