CA230334,CA230335,CA230337,CA230347,CA230348,CA230354,CA230361,CA230365,CA230366,CA230375,CA230377,CA230378,CA230381,CA230386,CA230387,CA230401,CA230404,CA230411,CA230416,CA230417,CA230422,CA230423,CA230424,CA230428,CA230429,CA230430,CA230715,CA230717,CA230718,CA230724
Capulí,Tuza,Piartal - 2,Piartal - 2,Capulí,Tuza,Piartal - 1,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Capulí,Tuza,Piartal - 2,Tuza,Piartal - 1,Piartal - 1,Piartal - 1,Piartal - 1,Piartal - 1,Tuza,Tuza,Tuza - Red slip,Tuza,Piartal - 1,Tuza,Tuza
9.8178,6.51181,5.46878,8.85768,9.80876,6.42417,8.85723,10.30203,11.51172,10.62826,9.21794,8.44303,10.73866,9.56002,12.40834,6.34125,8.53955,6.68613,6.27334,7.94292,7.89334,7.18356,7.61579,7.27577,7.28713,5.49234,6.43037,7.01326,6.59848,6.67756
9.8175,6.51156,5.46845,8.85768,9.80881,6.42397,8.85723,10.30203,11.51137,10.6087,9.21793,8.52833,10.73833,9.63619,12.49275,6.34164,8.44205,6.68633,6.18838,7.94302,7.89334,7.18378,7.61587,7.27577,7.28713,5.49269,6.43037,7.01347,6.59848,6.67756
9.8175,6.59612,5.46845,8.85822,9.71588,6.42397,8.85723,10.30172,11.51172,10.71894,9.21821,8.52127,10.73833,9.70343,12.49284,6.4262,8.36208,6.68614,6.18857,7.94312,7.8931,7.18356,7.61604,7.27599,7.28713,5.49291,6.34556,7.01347,6.68308,6.67715
9.71878,6.42718,5.46845,8.85822,9.78241,6.42417,8.85723,10.38648,11.51172,10.71354,9.21821,8.42051,10.82389,9.81112,12.40032,6.34164,8.36852,6.67851,6.18857,8.0276,7.8931,7.18356,7.61603,7.27599,7.28713,5.4927,6.34556,7.01326,6.68308,6.66751
9.86493,6.42718,5.4605,8.85768,9.89057,6.42397,8.85723,10.38648,11.51137,10.6242,9.21793,8.69624,10.82389,9.80595,12.37863,6.34164,8.28569,6.66535,6.18857,8.02759,7.89334,7.08909,7.70041,7.19118,7.28713,5.57719,6.34556,7.01347,6.68328,6.73723
9.98666,6.51175,5.44797,8.77332,9.88543,6.42397,8.85696,10.38648,11.51172,10.63311,9.21793,8.60677,10.82389,9.5482,12.40182,6.34164,8.28592,6.77009,6.18857,8.02759,7.89334,7.15677,7.61579,7.26764,7.2869,5.49286,6.34576,7.01347,6.59848,6.93071
9.97081,6.51155,5.55404,8.77386,9.71223,6.42397,8.85723,10.38648,11.42708,10.63678,9.21793,8.43262,10.82389,9.6407,12.40143,6.34164,8.28626,6.67883,6.10379,8.1121,7.8931,7.35248,7.61603,7.25357,7.2869,5.49286,6.34576,7.01326,6.59848,6.75119
9.72295,6.51155,5.54526,8.77386,9.80478,6.42397,8.85723,10.38648,11.42673,10.63755,9.21793,8.43955,10.72328,9.55928,12.39193,6.34164,8.37075,6.59406,6.10379,8.02764,7.89334,7.1724,7.61603,7.35963,7.28713,5.57736,6.34556,7.01347,6.59868,6.67051
9.73022,6.51175,5.46277,8.77332,9.72353,6.42417,8.85723,10.38648,11.42708,10.63762,9.21821,8.44237,10.86769,9.55974,12.40247,6.34164,8.37074,6.68362,6.10379,8.10906,7.89334,7.09169,7.61603,7.26762,7.28713,5.57736,6.34556,7.01347,6.59848,6.59099
9.64764,6.51175,5.38158,8.77334,9.72399,6.42398,8.85723,10.38648,11.4271,10.63747,9.21821,8.44274,10.99424,9.55983,12.40693,6.34164,8.37099,6.60094,6.10379,7.92609,7.8931,7.09706,7.61603,7.26769,7.28714,5.49269,6.34576,7.00298,6.59848,6.59219
9.64794,6.51175,5.38283,8.76384,9.72406,6.41665,8.85723,10.38648,11.41391,10.63745,9.21793,8.52835,10.89184,9.64459,12.32388,6.34164,8.28618,6.60142,6.10379,8.10312,7.8931,7.01412,7.70041,7.27349,7.27887,5.49269,6.26117,7.0718,6.59848,6.67718
9.64832,6.51175,5.46845,8.83107,9.80878,6.40413,8.85723,10.38648,11.56026,10.63745,9.3025,8.52849,10.72733,9.72917,12.49299,6.34125,8.28618,6.60158,6.10379,8.10948,7.89334,7.01453,7.61582,7.19077,7.34881,5.49286,6.33834,7.18241,6.59848,6.67763
9.73318,6.51155,5.46851,9.0257,9.80876,6.59256,8.85696,10.38648,11.67961,10.7222,9.3025,8.52848,10.7355,9.72946,12.49279,6.34125,8.28618,6.6015,6.18839,8.0155,7.89334,7.09912,7.69187,7.27567,7.37091,5.49286,6.32617,7.0026,6.59868,6.67757
9.73287,6.51155,5.55407,8.93229,9.80906,6.5013,8.85723,10.38648,11.58356,10.7222,9.30278,8.52821,10.65281,9.64465,12.49276,6.34164,8.28618,6.60149,6.09693,8.02303,7.8931,7.09906,7.59283,7.27586,7.27896,5.49286,6.51413,7.00616,6.59848,6.76168
9.73287,6.51175,5.55407,8.76348,9.80906,6.41654,8.85723,10.47092,11.41413,10.72193,9.30278,8.52821,10.65312,9.63826,12.57688,6.34164,8.28618,6.60149,6.08523,7.94244,7.97642,7.09926,7.7844,7.27601,7.19422,5.49269,6.42308,7.01116,6.59848,6.76167
9.73287,6.51175,5.5539,8.77004,9.80876,6.50626,8.85723,10.47092,11.42279,10.63079,9.21795,8.52847,10.73844,9.53741,12.48689,6.34164,8.28618,6.60149,6.18777,8.02662,7.97642,7.09926,7.60751,7.36038,7.28443,5.49269,6.33855,6.92854,6.59848,6.76209
9.73287,6.51175,5.46845,8.77313,9.80876,6.42363,8.85723,10.47094,11.42584,10.61183,9.20762,8.52847,10.73868,9.72373,12.29733,6.34164,8.28644,6.60169,6.18155,7.92819,7.97618,7.09905,7.60734,7.36037,7.20178,5.40837,6.34344,6.92897,6.59848,6.76209
9.73316,6.51175,5.46862,8.77349,9.7242,6.4239,8.77288,10.37483,11.4266,10.71579,9.18935,8.52827,10.73866,9.72372,12.39721,6.34164,8.28618,6.60149,6.18152,8.09981,7.97618,7.09905,7.61324,7.27599,7.28704,5.48663,6.26064,6.92883,6.59868,6.76167
9.73287,6.51155,5.46862,8.77343,9.7242,6.42405,8.77288,10.35454,11.51187,10.7163,9.38615,8.52272,10.73866,9.63199,12.48762,6.34164,8.37073,6.60149,6.18638,8.11017,7.97642,7.09926,7.53057,7.27599,7.287,5.47623,6.26107,7.01327,6.59848,6.76167
9.73287,6.51155,5.46845,8.77387,9.63971,6.50851,8.77261,10.55406,11.51175,10.53908,9.37669,8.42304,10.73866,9.64014,12.47512,6.34164,8.37073,6.60149,6.10332,8.01461,7.97642,7.09905,7.53149,7.27599,7.37188,5.49213,6.26104,7.01347,6.59848,6.76209
9.73287,6.51175,5.46862,8.85795,9.71799,6.5085,8.77288,10.54354,11.51138,10.63214,9.20743,8.52347,10.73866,9.55888,12.4859,6.4262,8.37076,6.60149,6.10372,8.02228,7.8931,7.09905,7.61016,7.27577,7.28713,5.4868,6.26097,7.01347,6.51408,6.76209
9.73287,6.51175,5.46862,8.85795,9.61661,6.5087,8.77288,10.29023,11.51172,10.63666,9.29913,8.43809,10.73866,9.55964,12.57561,6.4262,8.36141,6.60149,6.10368,7.94192,7.89334,7.09926,7.59639,7.27577,7.28691,5.48669,6.34557,7.01326,6.51389,6.76167
9.73287,6.51175,5.46845,8.85795,9.8878,6.5085,8.77288,10.38258,11.51172,10.63743,9.21746,8.4321,10.73866,9.64446,12.49259,6.4262,8.34528,6.60149,6.18858,8.02749,7.89334,7.18378,7.69838,7.27599,7.2869,5.40623,6.43017,7.01347,6.51389,6.76167
9.73287,6.51175,5.46862,8.85795,9.80356,6.5085,8.77288,10.38612,11.51137,10.72175,9.21783,8.43889,10.73833,9.64047,12.49265,6.4258,8.45439,6.60169,6.18857,8.01287,7.8931,7.18357,7.60994,7.19121,7.28713,5.40775,6.43037,7.01347,6.51389,6.76209
9.73316,6.51155,5.46862,8.85795,9.71162,6.42417,8.77288,10.37968,11.51172,10.72205,9.21805,8.44197,10.82356,9.53953,12.49296,6.42582,8.36137,6.60149,6.18857,8.01233,7.8931,7.17559,7.52204,7.26963,7.28713,5.40828,6.43037,7.01347,6.51389,6.76209
9.73287,6.427,5.46846,8.94231,9.71945,6.42397,8.77288,10.44458,11.42708,10.71742,9.3028,8.44291,10.73866,9.72056,12.489,6.41893,8.3612,6.68613,6.18857,8.11101,7.88185,6.99292,7.61274,7.25666,7.20239,5.40842,6.43017,7.01347,6.51408,6.76167
9.73287,6.50428,5.4623,8.94231,9.72307,6.42397,8.77288,10.55237,11.42679,10.53023,9.3025,8.44309,10.73866,9.72527,12.46689,6.32188,8.36778,6.68613,6.18857,8.02109,7.94784,7.18267,7.53064,7.35821,7.20239,5.4082,6.3456,7.01328,6.51389,6.76167
9.73287,6.40731,5.4516,8.94231,9.72417,6.42417,8.77288,10.54683,11.41731,10.71197,9.3025,8.52838,10.73866,9.54653,12.39209,6.42571,8.28555,6.68596,6.18857,7.94131,8.14223,7.0913,7.61561,7.26997,7.20239,5.49269,6.34026,7.00553,6.51389,6.76209
9.73287,6.59564,5.46806,8.858,9.72439,6.42397,8.77261,10.45791,11.48108,10.71763,9.3025,8.52449,10.73866,9.5549,12.48981,6.33453,8.28609,6.68053,6.18838,8.02038,7.96409,7.09117,7.61591,7.18261,7.20239,5.32385,6.32891,6.90793,6.51389,6.84621
9.73316,6.50426,5.46248,8.85026,9.80879,6.42397,8.77288,10.46663,11.50796,10.53782,9.30254,8.42468,10.73866,9.55872,12.48484,6.33405,8.28629,6.49962,6.18857,8.11108,7.80202,7.09672,7.61604,7.35732,7.11744,5.32385,6.34374,7.01253,6.5139,6.754
9.73287,6.41985,5.4623,8.75046,9.7242,6.42417,8.77288,10.46997,11.50224,10.63181,9.29465,8.4356,10.73866,9.55981,12.57217,6.33948,8.37075,6.59945,6.18857,7.93159,7.80777,7.01404,7.53141,7.27525,7.11748,5.40835,6.3406,6.92111,6.50676,6.65735
9.73288,6.50951,5.4665,9.02409,9.80876,6.42397,8.85723,10.47068,11.41281,10.63624,9.27763,8.52507,10.73866,9.56017,12.56523,6.25661,8.37074,6.59623,6.18857,8.02037,7.7267,7.01446,7.5314,7.27583,7.11153,5.40819,6.33787,6.92104,6.4937,6.84558
9.63735,6.42663,5.46818,9.01934,9.80876,6.42381,8.85723,10.55521,11.42223,10.72176,9.38443,8.431,10.82389,9.6446,12.48822,6.25684,8.45529,6.59341,6.18857,8.11015,7.81025,7.09914,7.53124,7.27589,7.09869,5.32372,6.34305,7.09537,6.68235,6.75431
9.7026,6.4269,5.4684,8.84711,9.80876,6.41861,8.85723,10.55539,11.42601,10.72205,9.37988,8.4383,10.82389,9.64457,12.46988,6.25716,8.45529,6.5987,6.27334,8.11165,7.727,7.09906,7.61096,7.2759,7.20027,5.40368,6.34513,7.01291,6.59098,6.75432
9.81643,6.42707,5.46852,8.85421,9.80876,6.40705,8.85723,10.55537,11.34218,10.71891,9.20654,8.44187,10.82389,9.64457,12.3151,6.34165,8.37099,6.51622,6.1886,8.11202,7.81002,7.09905,7.51374,7.27125,7.11178,5.39426,6.34542,7.01339,6.50647,6.75926
9.80635,6.4272,5.55397,8.77295,9.80876,6.42198,8.85699,10.55536,11.42691,10.53162,9.21412,8.44281,10.73835,9.64456,12.4063,6.4262,8.37073,6.51671,6.18327,8.11216,7.81001,7.09926,7.61175,7.25867,7.02411,5.40666,6.34547,7.01335,6.51176,6.67703
9.63754,6.42718,5.46384,8.77365,9.80906,6.41876,8.76289,10.55536,11.42676,10.70773,9.21731,8.44312,10.72664,9.64456,12.40812,6.4258,8.37073,6.51696,6.17215,8.19585,7.81025,7.09905,7.6115,7.44094,7.19935,5.40404,6.34577,7.01348,6.42895,6.67728
9.64483,6.51155,5.45399,8.77347,9.80906,6.33169,8.83024,10.63956,11.42708,10.63482,9.21771,8.52836,10.87503,9.56001,12.4924,6.4258,8.37073,6.60151,6.27135,8.1004,7.81025,7.09908,7.52135,7.27179,7.11697,5.31734,6.34576,7.01347,6.42921,6.67724
9.64745,6.51155,5.55234,8.77361,9.7242,6.42142,9.02488,10.54893,11.42708,10.53676,9.30236,8.52568,10.82241,9.5569,12.49163,6.4262,8.37073,6.60149,6.26835,8.01272,7.81001,7.09329,7.52776,7.26628,7.1175,5.23697,6.43017,7.01326,6.42918,6.67757
9.64811,6.51175,5.54956,8.85778,9.72397,6.42335,8.9317,10.44618,11.51172,10.63103,9.3028,8.42558,10.89671,9.54024,12.38434,6.42623,8.37079,6.60169,6.18098,8.19661,7.81025,6.99581,7.53053,7.35692,7.20229,5.32331,6.43017,7.01347,6.5139,6.67756
9.64836,6.51175,5.46185,8.85228,9.71966,6.42402,8.76299,10.63308,11.42708,10.72054,9.3026,8.43211,10.72626,9.54784,12.38361,6.42086,8.36364,6.60149,6.27059,8.01951,7.81025,7.18141,7.53114,7.27513,7.28692,5.23921,6.43037,7.09797,6.51409,6.6772
9.73289,6.51175,5.46641,8.75305,9.70301,6.42407,8.85399,10.63393,11.42681,10.72163,9.29653,8.52612,10.73487,9.6416,12.57614,6.40902,8.26436,6.68613,6.18795,8.02009,7.81001,7.09363,7.53132,7.27574,7.2024,5.23926,6.43037,7.09775,6.51389,6.75609
